school,Private,Accept.pct,Elite10,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Abilene Christian University,Yes,0.742168675,0,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60
Adelphi University,Yes,0.880146386,0,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56
Adrian College,Yes,0.768207283,0,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54
Agnes Scott College,Yes,0.836930456,1,510,63,12960,5450,450,875,92,97,7.7,37,19016,59
Alaska Pacific University,Yes,0.756476684,0,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
Albertson College,Yes,0.816013629,0,678,41,13500,3335,500,675,67,73,9.4,11,9727,55
Albertus Magnus College,Yes,0.963172805,0,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63
Albion College,Yes,0.905739863,0,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73
Albright College,Yes,0.808285164,0,973,306,15595,4400,300,500,79,84,11.3,23,11644,80
Alderson-Broaddus College,Yes,0.855670103,0,799,78,10468,3380,660,1800,40,41,11.5,15,8991,52
Alfred University,Yes,0.822748268,0,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73
Allegheny College,Yes,0.716440422,0,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76
Allentown Coll. of St. Francis de Sales,Yes,0.661577608,0,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74
Alma College,Yes,0.852407261,0,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68
Alverno College,Yes,0.633603239,0,1317,1235,8352,3640,650,2449,36,69,11.1,26,8127,55
American International College,Yes,0.76971831,0,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69
Amherst College,Yes,0.230590423,1,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100
Anderson University,Yes,0.746710526,0,1819,281,10100,3520,550,1100,48,61,12.1,14,7994,59
Andrews University,Yes,0.62300885,0,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46
Angelo State University,No,0.565254237,0,4190,1512,5130,3592,500,2000,60,62,23.1,5,4010,34
